INSTNM,STABBR,PREDDEG,ST_FIPS,REGION,SAT_AVG,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,AVGFACSAL,C150_4,PFTFTUG1_EF,C150_4_WHITE,C150_4_BLACK,C200_4,PCTFLOAN,DEBT_MDN
University of North Carolina at Greensboro,NC,3,37,5,1054,15781,0.5103,0.2793,0.0823,0.0544,0.0039,0.0008,0.0463,0.0178,0.005,18764,8384,0.5381,0.5669,0.5084,0.6053,0.5803,0.5785,15000
Meredith College,NC,3,37,5,1054,1650,0.7109,0.0836,0.0594,0.0297,0.0073,0.0006,0.0358,0.0152,0.0576,45091,7026,0.6093,0.8307,0.6036,0.575,0.6222,0.6492,18000
Wingate University,NC,3,37,5,1042,2076,0.6315,0.1464,0.0443,0.0154,0.0053,0.0005,0.0689,0.0381,0.0496,40935,7545,0.5372,0.8527,0.5137,0.6,0.5174,0.6263,14474.5
East Carolina University,NC,3,37,5,1040,22386,0.6764,0.1589,0.0649,0.0287,0.0067,0.0011,0.0342,0.0055,0.0236,20567,8590,0.6065,0.6902,0.6079,0.6383,0.6061,0.5503,18250
Western Carolina University,NC,3,37,5,1034,9002,0.7893,0.0642,0.0624,0.0132,0.007,0.0012,0.0411,0.0093,0.0122,19921,7773,0.5654,0.694,0.5697,0.5364,0.5949,0.5782,15500
Campbell University,NC,3,37,5,1027,4490,0.555,0.1753,0.0837,0.02,0.0069,0.0024,0.0314,0.0178,0.1073,43835,8815,0.573,0.6373,0.666,0.4904,0.4831,0.7614,13750
University of Mount Olive,NC,3,37,5,1005,3151,0.5075,0.2863,0.0327,0.0044,0.0083,0.0019,0.0682,0.0314,0.0593,27531,6186,0.4711,0.3022,0.5212,0.4151,0.4358,0.7302,19753
Belmont Abbey College,NC,3,37,5,987,1480,0.552,0.1912,0.0128,0.0182,0.0027,0.0007,0.002,0.0155,0.2047,31593,4690,0.4365,0.6885,0.381,0.4167,0.4007,0.6977,18750
Gardner-Webb University,NC,3,37,5,987,2354,0.6568,0.1517,0.0302,0.014,0.0068,0.0021,0.0034,0.0064,0.1287,41020,6881,0.4483,0.5912,0.5478,0.2381,0.551,0.3995,16546
Lenoir-Rhyne University,NC,3,37,5,980,1590,0.6818,0.1333,0.0654,0.017,0.0057,0.0006,0.0352,0.0233,0.0377,44679,7112,0.4799,0.7708,0.5108,0.3684,0.5507,0.6452,15000
Catawba College,NC,3,37,5,980,1276,0.6708,0.1865,0.0713,0.011,0.0039,0.0008,0.0329,0.0212,0.0016,42163,6639,0.529,0.8173,0.5798,0.3542,0.5223,0.7063,18944.5
John Wesley University,NC,3,37,5,963,123,0.4634,0.2602,0.1138,0.0081,0.0488,0,0.0569,0.0407,0.0081,24519,4317,0.4,0.7333,0.5714,0,0.5,0.632,14286
Montreat College,NC,3,37,5,960,684,0.6418,0.152,0.0322,0.0102,0.0132,0.0044,0.0219,0.038,0.0863,35791,4977,0.3585,0.6805,0.3214,0.2,0.3448,0.6856,13825
Methodist University,NC,3,37,5,955,2134,0.4485,0.187,0.0726,0.0112,0.0084,0.0028,0.0366,0.0933,0.1396,50564,7238,0.3898,0.662,0.4255,0.2458,0.3597,0.5717,11000
Barton College,NC,3,37,5,948,979,0.5373,0.2217,0.0695,0.0143,0.0061,0.002,0.0368,0.0398,0.0725,41748,5930,0.5175,0.7438,0.5419,0.45,0.4453,0.7756,17619
North Carolina A & T State University,NC,3,37,5,939,9354,0.0491,0.8208,0.0331,0.0072,0.0025,0.0001,0.0393,0.014,0.0339,17903,8619,0.4348,0.7251,0.2105,0.4466,0.5057,0.7613,21980
Mars Hill University,NC,3,37,5,935,1333,0.6572,0.2033,0.0555,0.0158,0.0128,0.0015,0.0203,0,0.0338,39206,5114,0.3381,0.771,0.3727,0.2051,0.3686,0.8208,14250
University of North Carolina at Pembroke,NC,3,37,5,927,5344,0.3666,0.3583,0.0535,0.0193,0.1508,0.0007,0.0268,0.0069,0.017,17625,7077,0.361,0.6566,0.3512,0.3844,0.3624,0.6727,12943
Greensboro College,NC,3,37,5,926,820,0.5512,0.3061,0.0256,0.0061,0.0012,0,0.0427,0,0.0671,38917,5866,0.4427,0.7176,0.4504,0.3902,0.3697,0.7899,14625
Mid-Atlantic Christian University,NC,3,37,5,924,193,0.6943,0.228,0.0363,0.0104,0,0.0052,0.0259,0,0,26414,5492,0.381,0.5974,0.3529,0.5,0.4,0.7402,10625
Pfeiffer University,NC,3,37,5,922,847,0.5726,0.242,0.059,0.0071,0.0059,0.0012,0.0189,0.0484,0.0449,39989,6518,0.3819,0.6654,0.4409,0.1579,0.3594,0.5747,16169
North Carolina Wesleyan College,NC,3,37,5,919,2081,0.3244,0.4378,0.0245,0.0082,0.0125,0.001,0.0211,0.0418,0.1288,40329,5882,0.2072,0.5599,0.3333,0.1717,0.3605,0.731,14750
William Peace University,NC,3,37,5,907,1034,0.4555,0.325,0.0696,0.0155,0.0126,0.0019,0.0184,0.0019,0.0996,41113,5603,0.4172,0.649,0.411,0.4286,0.3647,0.8767,16149
St. Andrews University,NC,3,37,5,906,683,0.4143,0.1684,0.0161,0.0073,0.0088,0,0.0234,0.1332,0.2284,42081,5187,0.3608,0.7724,0.3857,0.3333,0.2899,0.6392,9500
Fayetteville State University,NC,3,37,5,888,5105,0.1863,0.6443,0.0595,0.0137,0.0315,0.0024,0.0027,0.0022,0.0574,15066,8537,0.3203,0.4224,0.2963,0.3177,0.3737,0.6017,17169
Elizabeth City State University,NC,3,37,5,884,1272,0.1643,0.728,0.0259,0.0024,0.0047,0.0008,0.0126,0.0016,0.0597,13169,7656,0.3682,0.7088,0.2667,0.3776,0.4104,0.7466,20000
North Carolina Central University,NC,3,37,5,873,5897,0.0663,0.8123,0.0432,0.011,0.0036,0.0002,0.0451,0.002,0.0163,19750,8027,0.4278,0.6624,0.2727,0.439,0.4922,0.7936,24171.5
Winston-Salem State University,NC,3,37,5,870,4654,0.1394,0.7415,0.0329,0.0067,0.0045,0.0009,0.0404,0.0148,0.0189,18738,8190,0.4652,0.6772,0.2813,0.4826,0.4797,0.7153,15410
Piedmont International University,NC,3,37,5,831,295,0.7661,0.1424,0.0169,0.0034,0.0034,0,0.0203,0.0034,0.0441,20189,3236,0.4468,0.3333,0.4773,0,0.4474,0.3343,9500
Chowan University,NC,3,37,5,789,1525,0.1659,0.7016,0.0361,0.002,0.0066,0.0026,0.0262,0.0289,0.0302,33884,6693,0.2294,0.8686,0.3023,0.217,0.2523,0.8896,9500
Livingstone College,NC,3,37,5,730,1198,0.0067,0.7513,0,0,0.0017,0.0017,0.0242,0,0.2145,27143,5298,0.2494,0.8578,0,0.2455,0.247,0.8865,12250
Saint Augustine's University,NC,3,37,5,712,944,0.0148,0.8898,0.0106,0.0011,0.0064,0,0,0.0138,0.0636,31999,4843,0.2341,0.8248,0,0.2354,0.3864,0.9741,15250
Dickinson State University,ND,3,38,4,1116,1153,0.7554,0.0477,0.0642,0.0069,0.0095,0.0061,0.0295,0.0607,0.0199,14720,7009,0.3388,0.4879,0.4071,0.1667,0.3389,0.4397,9745
North Dakota State University-Main Campus,ND,3,38,4,1091,11683,0.8642,0.0321,0.0219,0.0138,0.0072,0.0008,0.028,0.0192,0.0129,19602,9109,0.555,0.7739,0.5683,0.3778,0.5811,0.5313,15000
University of North Dakota,ND,3,38,4,1090,10598,0.8119,0.0244,0.0342,0.0174,0.0135,0.0012,0.0327,0.0493,0.0154,19290,8735,0.5538,0.692,0.5668,0.3448,0.5658,0.493,16850
University of Mary,ND,3,38,4,1067,1977,0.8214,0.0172,0.0349,0.0116,0.0162,0.002,0.0293,0.0076,0.0597,26377,5993,0.5359,0.7589,0.5896,0.3571,0.5911,0.5905,14714.5
University of Jamestown,ND,3,38,4,1043,932,0.7371,0.0515,0.073,0.0097,0.0129,0.0107,0,0.103,0.0021,30419,6445,0.495,0.8213,0.528,0.1429,0.4906,0.6659,16736
Valley City State University,ND,3,38,4,985,958,0.8225,0.0355,0.0574,0.0063,0.0115,0.001,0.0324,0.0261,0.0073,17348,5907,0.3502,0.5163,0.3642,0,0.4902,0.4679,11225
Minot State University,ND,3,38,4,975,2563,0.6563,0.0585,0.0644,0.0191,0.0195,0.0035,0.0398,0.1186,0.0203,15072,6143,0.4317,0.4407,0.4099,0.1429,0.4236,0.3665,12000
Mayville State University,ND,3,38,4,950,814,0.7199,0.1007,0.0725,0.0025,0.0258,0.0074,0.0319,0.0356,0.0037,16133,5789,0.3077,0.475,0.3535,0.0909,0.427,0.5014,11636
Trinity Bible College and Graduate School,ND,3,38,4,917,189,0.7196,0.0794,0.0741,0,0.0317,0.0106,0.0635,0.0106,0.0106,26102,3811,0.3559,0.72,0.4419,0.25,0.383,0.8571,11000
Creighton University,NE,3,31,4,1213,4149,0.7033,0.0236,0.0832,0.093,0.0039,0.0043,0.0441,0.0289,0.0157,50060,9302,0.7901,0.8495,0.8111,0.7143,0.7297,0.4953,23000
University of Nebraska-Lincoln,NE,3,31,4,1144,20833,0.7597,0.028,0.0573,0.0254,0.0016,0.0007,0.03,0.0838,0.0135,22535,10301,0.6665,0.8383,0.6792,0.5,0.6924,0.3934,13875
Nebraska Wesleyan University,NE,3,31,4,1105,1788,0.8305,0.0252,0.066,0.0185,0.0017,0.0006,0.0252,0.0117,0.0207,41817,6340,0.7002,0.797,0.7181,0.6667,0.705,0.6289,17225
Doane University,NE,3,31,4,1088,1041,0.8136,0.0269,0.0807,0.0096,0.0019,0.0019,0.0336,0.0202,0.0115,42410,6087,0.5872,0.837,0.6173,0.3333,0.5992,0.8108,17000
Concordia University-Nebraska,NE,3,31,4,1070,1233,0.7745,0.0462,0.0584,0.0097,0.0032,0.0032,0.0008,0.0227,0.0811,37601,6436,0.6739,0.8522,0.6969,0.25,0.663,0.5433,15154.5
Hastings College,NE,3,31,4,1058,1113,0.8131,0.0341,0.0737,0.009,0.0036,0.0072,0.0288,0.0189,0.0117,39273,4488,0.5833,0.7982,0.5812,0.4615,0.5875,0.6341,15000
University of Nebraska at Omaha,NE,3,31,4,1050,12333,0.6736,0.0608,0.1237,0.0354,0.0024,0.0013,0.0447,0.037,0.0212,17712,8204,0.4492,0.597,0.4809,0.2243,0.5043,0.4076,12354
Union College,NE,3,31,4,1030,759,0.5178,0.0725,0.2108,0.0408,0.0013,0.0105,0.0514,0.087,0.0079,33219,5606,0.4311,0.7524,0.5096,0.2,0.5541,0.7396,17588.5
University of Nebraska at Kearney,NE,3,31,4,1028,4672,0.7879,0.0199,0.1083,0.0086,0.0015,0.0006,0.0205,0.0488,0.0039,20967,7315,0.5694,0.758,0.6063,0.2,0.5976,0.4605,13000
Midland University,NE,3,31,4,1003,1213,0.3166,0.0198,0.0231,0.0041,0.0025,0.0256,0.1525,0.0107,0.4452,40599,6204,0.4649,0.7429,0.525,0.1538,0.4841,0.6573,14985
Grace University,NE,3,31,4,981,312,0.7051,0.125,0.0897,0.0321,0.0128,0.0064,0.0192,0.0096,0,31542,4727,0.6613,0.6481,0.7308,0.3333,0.5323,0.6051,12838.5
York College,NE,3,31,4,934,400,0.5525,0.1775,0.1725,0.0175,0.015,0,0,0.02,0.045,25850,5240,0.4885,0.708,0.5281,0.25,0.375,0.7698,15000
Dartmouth College,NH,3,33,1,1441,4230,0.4979,0.0693,0.0917,0.1525,0.0232,0.0026,0.0515,0.0846,0.0267,67044,15009,0.9657,0.9841,0.9713,0.973,0.958,0.2429,12000
Saint Anselm College,NH,3,33,1,1142,1916,0.8805,0.0167,0.0329,0.0094,0.0005,0,0.0157,0.0052,0.0391,53456,8554,0.7196,0.9736,0.7363,0.4615,0.76,0.7286,27000
University of New Hampshire at Manchester,NH,3,33,1,1101,712,0.7275,0.0112,0.0463,0.0449,0.0014,0,0.0267,0.0084,0.1334,19931,9559,0.5524,0.3192,0.5556,0,0.5278,0.4911,23000
University of New Hampshire-Main Campus,NH,3,33,1,1101,12653,0.814,0.0131,0.034,0.0241,0.0018,0.0001,0.018,0.0301,0.0648,31168,11483,0.7776,0.8307,0.7862,0.8108,0.7784,0.665,23000
Keene State College,NH,3,33,1,977,4068,0.865,0.0125,0.0356,0.0143,0.002,0.0007,0.0211,0.0007,0.0479,25060,9346,0.6303,0.8696,0.6373,0.4444,0.6229,0.5762,21000
Franklin Pierce University,NH,3,33,1,957,1755,0.7322,0.0701,0.0769,0.0131,0.004,0.0011,0.0234,0.0262,0.053,49173,5523,0.4286,0.9046,0.4407,0.1818,0.4599,0.7536,14423
Princeton University,NJ,3,34,2,1493,5236,0.4362,0.0777,0.0964,0.2135,0.0013,0.0015,0.0384,0.1194,0.0155,61860,17132,0.9748,1,0.977,0.9688,0.9775,0.0452,7500
Stevens Institute of Technology,NJ,3,34,2,1360,3109,0.6668,0.0206,0.0952,0.1123,0.0006,0,0,0.0463,0.0582,62100,12620,0.8282,0.971,0.8496,0.6087,0.8266,0.6052,26000
Rutgers University-New Brunswick,NJ,3,34,2,1230,35782,0.4014,0.0753,0.132,0.2586,0.0006,0.0026,0.0316,0.0812,0.0166,29388,11662,0.8006,0.6895,0.8094,0.7391,0.859,0.5325,19500
The College of New Jersey,NJ,3,34,2,1211,6666,0.6635,0.0563,0.1278,0.1101,0.0018,0.0021,0.0038,0.0023,0.0324,32421,9667,0.8663,0.8439,0.8856,0.6986,0.8764,0.5198,21194.5
New Jersey Institute of Technology,NJ,3,34,2,1204,7336,0.3417,0.0818,0.2143,0.223,0.0005,0.0005,0.0312,0.047,0.0598,29143,11769,0.6051,0.5599,0.615,0.4308,0.6431,0.4472,18250
Seton Hall University,NJ,3,34,2,1156,5710,0.4972,0.1004,0.1785,0.1018,0.0018,0.0012,0.0347,0.0275,0.0571,51395,9397,0.6406,0.7683,0.7088,0.456,0.676,0.5433,19500
Rowan University,NJ,3,34,2,1125,14068,0.6753,0.1045,0.0977,0.0425,0.002,0.0009,0.0284,0.008,0.0407,27553,9197,0.7098,0.5666,0.7378,0.5593,0.6606,0.5946,15000
Ramapo College of New Jersey,NJ,3,34,2,1082,5445,0.6421,0.0522,0.1423,0.0725,0.0042,0.0018,0.0094,0.0165,0.059,27821,9747,0.7324,0.6281,0.7433,0.4412,0.7389,0.5492,18750
Stockton University,NJ,3,34,2,1052,7825,0.6999,0.0709,0.1213,0.0607,0.0015,0.0022,0.0243,0.0033,0.0158,27490,9069,0.7005,0.5493,0.7312,0.3571,0.6798,0.6454,18188
Monmouth University,NJ,3,34,2,1032,4669,0.7203,0.0533,0.1221,0.0349,0.0011,0.0002,0.0218,0.0075,0.0388,48168,8689,0.6965,0.8043,0.716,0.5938,0.675,0.6701,21100
Fairleigh Dickinson University-Florham Campus,NJ,3,34,2,1030,2483,0.5634,0.1067,0.1708,0.0475,0.0024,0.002,0.0262,0.0048,0.0761,53748,9456,0.5317,0.8242,0.5781,0.3766,0.5673,0.6784,18750
Rider University,NJ,3,34,2,1012,3974,0.6057,0.1178,0.1417,0.0496,0.0015,0.0013,0.0307,0.034,0.0179,53848,11143,0.6564,0.7803,0.6694,0.5435,0.6389,0.6589,20500
Rutgers University-Camden,NJ,3,34,2,1005,4960,0.5272,0.169,0.1442,0.0897,0.0006,0.0016,0.0401,0.0119,0.0157,25757,10939,0.5943,0.4416,0.6154,0.5395,0.5717,0.7269,19500
Rutgers University-Newark,NJ,3,34,2,1005,7691,0.2373,0.1896,0.2823,0.2,0.0004,0.003,0.0255,0.0454,0.0166,23299,13286,0.662,0.5498,0.6407,0.5524,0.7009,0.5522,19500
William Paterson University of New Jersey,NJ,3,34,2,985,8972,0.4155,0.1653,0.2898,0.07,0.0009,0.0006,0.0273,0.0089,0.0217,23563,10289,0.4964,0.5468,0.5359,0.3632,0.5382,0.4577,17708
Fairleigh Dickinson University-Metropolitan Campus,NJ,3,34,2,965,3450,0.2339,0.1099,0.3719,0.0461,0.0026,0.002,0.0151,0.0649,0.1536,46389,8983,0.3833,0.5281,0.4885,0.3662,0.5063,0.383,18750
Caldwell University,NJ,3,34,2,962,1632,0.3768,0.1397,0.1691,0.0343,0,0.0018,0,0.0815,0.1967,42017,8104,0.581,0.7799,0.6364,0.5,0.6327,0.6157,18987.5
Georgian Court University,NJ,3,34,2,946,1409,0.6111,0.1199,0.1086,0.0263,0.005,0.0021,0.0227,0.0149,0.0894,43056,8233,0.4215,0.514,0.5506,0.3289,0.498,0.625,18500
Saint Peter's University,NJ,3,34,2,930,2589,0.1584,0.2294,0.4083,0.0688,0.0039,0.007,0.0178,0.0205,0.0861,44502,8816,0.5415,0.7964,0.5827,0.5278,0.5423,0.5865,16000
Centenary University,NJ,3,34,2,927,1490,0.5698,0.1087,0.1248,0.0154,0.002,0,0,0.0302,0.149,45909,7107,0.5952,0.5866,0.6149,0.7241,0.6194,0.7177,19500
Kean University,NJ,3,34,2,921,11656,0.3474,0.1938,0.2726,0.0543,0.0016,0.0025,0.022,0.0244,0.0814,24367,8820,0.4968,0.5034,0.5205,0.4481,0.5293,0.6185,17750
Felician University,NJ,3,34,2,898,1639,0.2941,0.2306,0.2984,0.0549,0.0055,0.0043,0.0061,0.0207,0.0854,44548,6551,0.4136,0.6172,0.5444,0.431,0.3673,0.7228,19500
New Jersey City University,NJ,3,34,2,875,6465,0.2251,0.224,0.3804,0.0764,0.0029,0.0077,0.0207,0.0087,0.0541,21380,9981,0.3098,0.4875,0.3655,0.2424,0.4067,0.508,12500
Bloomfield College,NJ,3,34,2,861,1941,0.0933,0.4972,0.2818,0.0242,0.0026,0.0057,0.0072,0.0428,0.0453,41738,8351,0.3113,0.7519,0.4848,0.2468,0.3469,0.8136,16750
College of Saint Elizabeth,NJ,3,34,2,828,746,0.2708,0.3351,0.2252,0.0322,0.0027,0.0027,0.0255,0.0295,0.0764,49424,7088,0.4957,0.5719,0.7222,0.4681,0.5127,0.5925,14250
New Mexico Institute of Mining and Technology,NM,3,35,6,1195,1460,0.5144,0.0178,0.3075,0.0342,0.0349,0.0007,0.0486,0.026,0.0158,19956,8199,0.4925,0.7984,0.4714,0.3333,0.4755,0.4644,11709.5
University of New Mexico-Main Campus,NM,3,35,6,1038,19646,0.3408,0.0248,0.4739,0.0364,0.057,0.002,0.0336,0.0179,0.0135,17443,8917,0.445,0.7266,0.4937,0.3263,0.5424,0.3867,12500
New Mexico State University-Main Campus,NM,3,35,6,982,11421,0.2797,0.0297,0.5604,0.0118,0.0215,0.0019,0.0177,0.0528,0.0244,17053,8541,0.4461,0.753,0.5386,0.3229,0.5143,0.3808,10500
Eastern New Mexico University-Main Campus,NM,3,35,6,944,3483,0.4421,0.064,0.3899,0.0063,0.0212,0.0072,0.0278,0.0198,0.0215,16948,6835,0.3456,0.5962,0.3958,0.2963,0.3042,0.3142,8276
University of the Southwest,NM,3,35,6,863,530,0.1623,0.1094,0.4925,0.0038,0.0038,0.0019,0,0,0.2264,24883,3186,0.1636,0.4174,0,0.3333,0.1609,0.6637,9500
University of Nevada-Reno,NV,3,32,8,1088,17786,0.5901,0.0338,0.2016,0.0726,0.0075,0.0059,0.063,0.0111,0.0145,20702,9795,0.5436,0.7183,0.5479,0.4553,0.6023,0.3821,12000
University of Nevada-Las Vegas,NV,3,32,8,1012,24197,0.3329,0.0777,0.2752,0.1554,0.0022,0.0107,0.1023,0.0377,0.0058,17131,10201,0.4064,0.6016,0.4312,0.3134,0.471,0.353,12500
Sierra Nevada College,NV,3,32,8,950,478,0.7636,0.0335,0.0397,0.0356,0.0314,0.0167,0.0021,0.0146,0.0628,45660,6663,0.3488,0.5776,0.3571,0,0.4771,0.7278,15000
Columbia University in the City of New York,NY,3,36,2,1496,8124,0.3724,0.0742,0.1312,0.1769,0.0041,0.0007,0.0554,0.162,0.0231,69021,18089,0.9411,0.7018,0.9455,0.8792,0.9534,0.2274,18794
Cornell University,NY,3,36,2,1436,14471,0.3955,0.0634,0.1254,0.1841,0.0044,0.0009,0.0452,0.101,0.0802,65464,14492,0.9388,0.8497,0.938,0.9172,0.9435,0.2971,12305
Vassar College,NY,3,36,2,1409,2400,0.5808,0.0446,0.1075,0.1238,0.0004,0,0.0646,0.0758,0.0025,65480,11572,0.9113,0.988,0.9069,0.8837,0.9185,0.3811,15500
Hamilton College,NY,3,36,2,1402,1867,0.639,0.0402,0.0787,0.0696,0.0005,0,0.0332,0.0653,0.0734,63870,11186,0.9165,0.9555,0.9391,0.7917,0.9176,0.3367,16565
Colgate University,NY,3,36,2,1388,2868,0.659,0.0453,0.0924,0.037,0.001,0,0.0373,0.0907,0.0373,64800,11565,0.8987,0.9808,0.8996,0.8293,0.9281,0.2741,15500
Barnard College,NY,3,36,2,1375,2496,0.5216,0.0645,0.125,0.1394,0.0016,0.0004,0.0553,0.0849,0.0072,65142,12981,0.9088,0.8605,0.9152,0.9565,0.9027,0.3254,16964
New York University,NY,3,36,2,1371,25716,0.3239,0.0559,0.1299,0.201,0.0015,0.0016,0.0398,0.1779,0.0684,67637,13264,0.8465,0.8779,0.8314,0.8281,0.8391,0.3516,20500
Rensselaer Polytechnic Institute,NY,3,36,2,1365,6200,0.5674,0.0335,0.0868,0.1113,0.0011,0.0003,0.0679,0.1137,0.0179,66172,12436,0.8299,0.9312,0.8345,0.625,0.8303,0.5587,27000
Jewish Theological Seminary of America,NY,3,36,2,1349,156,0.7949,0,0.0513,0.0128,0,0,0,0.0128,0.1282,62274,11212,0.7551,1,0.7949,1,0.8043,0.3082,21750
Binghamton University,NY,3,36,2,1317,13578,0.5661,0.0524,0.1064,0.141,0.001,0.0006,0.0231,0.0926,0.0169,24093,9351,0.8301,0.703,0.844,0.7797,0.8142,0.4556,16750
Sarah Lawrence College,NY,3,36,2,1291,1377,0.5171,0.0436,0.0922,0.045,0.0007,0.0007,0.0712,0.1351,0.0944,66642,10059,0.8225,0.9019,0.8182,0.8889,0.7759,0.2122,13000
Fordham University,NY,3,36,2,1281,9096,0.5891,0.0425,0.1434,0.0955,0.0012,0.0008,0.03,0.0761,0.0214,63109,13473,0.7962,0.8605,0.8185,0.7619,0.8056,0.5178,21500
Stony Brook University,NY,3,36,2,1268,16863,0.3503,0.0653,0.1185,0.2358,0.0013,0.0011,0.0241,0.1396,0.064,22988,11093,0.7237,0.6443,0.7048,0.7132,0.7051,0.4149,15646
United States Merchant Marine Academy,NY,3,36,0,1268,904,0.7423,0.0254,0.1051,0.0808,0.0166,0.0022,0,0.0066,0.021,8535,9931,0.7649,0.9373,0.7813,0.4444,0.7238,0.1228,6500
Hobart William Smith Colleges,NY,3,36,2,1260,2241,0.7251,0.0602,0.0544,0.0353,0.0045,0.0009,0,0.0638,0.0558,64903,9668,0.7686,0.9667,0.7738,0.8,0.7904,0.5119,26775
Rochester Institute of Technology,NY,3,36,2,1254,12638,0.667,0.0476,0.0737,0.0832,0.002,0.0002,0.0336,0.062,0.0308,50713,10084,0.6554,0.8333,0.6853,0.5267,0.7012,0.6594,24250
CUNY Bernard M Baruch College,NY,3,36,2,1240,14858,0.2096,0.092,0.2492,0.3189,0.0018,0.0017,0.0143,0.1125,0,14038,11933,0.6645,0.4292,0.6296,0.5753,0.69,0.1194,8437
Skidmore College,NY,3,36,2,1240,2661,0.6396,0.0395,0.0909,0.0496,0,0,0.0425,0.1048,0.0331,64850,9543,0.8906,0.9649,0.8878,0.9259,0.8727,0.3147,19000
Yeshiva University,NY,3,36,2,1217,2679,0.9511,0,0.0011,0,0.0004,0,0.0011,0.0444,0.0019,57355,11734,0.8177,0.9452,0.8303,1,0.8165,0.2397,15250
SUNY College at Geneseo,NY,3,36,2,1206,5480,0.7527,0.0292,0.0752,0.0641,0.0016,0.0002,0.0277,0.0214,0.0279,23393,7348,0.8087,0.8176,0.8591,0.6364,0.7837,0.5057,18250
Syracuse University,NY,3,36,2,1204,14777,0.5634,0.0782,0.1009,0.0736,0.0055,0.0005,0.0294,0.1238,0.0246,61070,11329,0.8221,0.911,0.8384,0.7927,0.8156,0.5101,27000
Clarkson University,NY,3,36,2,1190,3176,0.8275,0.0236,0.0472,0.0305,0.0025,0.0003,0.0255,0.0236,0.0192,61992,10515,0.7079,0.8778,0.7206,0.3571,0.7193,0.7286,24250
Pratt Institute-Main,NY,3,36,2,1183,3445,0.4055,0.0447,0.1045,0.1393,0.0009,0.0015,0.0299,0.2665,0.0073,62845,10412,0.7001,0.8333,0.7042,0.6207,0.6519,0.435,21500
University at Buffalo,NY,3,36,2,1181,20102,0.4778,0.0737,0.0679,0.143,0.0029,0.0011,0.0228,0.1619,0.0489,24006,10248,0.7436,0.6848,0.7281,0.6792,0.7342,0.4762,14999
The King's College,NY,3,36,2,1180,520,0.6308,0.0615,0.075,0.0385,0.0038,0.0058,0.0096,0.0327,0.1423,55030,8953,0.529,0.7892,0.5825,0.3333,0.5294,0.7622,12000
Hofstra University,NY,3,36,2,1177,6810,0.5646,0.0809,0.1374,0.0996,0.0034,0.0079,0.0242,0.0502,0.0317,55322,13157,0.6362,0.8073,0.7002,0.3835,0.614,0.5081,17152
SUNY Polytechnic Institute,NY,3,36,2,1170,1891,0.7753,0.0545,0.0767,0.0487,0.0026,0.0011,0.0264,0.0137,0.0011,21836,9435,0.439,0.5386,0.4768,0.2917,0.4493,0.5327,12500
CUNY Hunter College,NY,3,36,2,1160,15632,0.2476,0.104,0.2986,0.2654,0.0013,0.0054,0.0194,0.0582,0,13803,10729,0.5333,0.5388,0.5371,0.5152,0.5654,0.1218,9000
The New School,NY,3,36,2,1158,7007,0.3297,0.0548,0.1195,0.0926,0.0011,0.0016,0.0374,0.3234,0.04,62175,10889,0.6775,0.6971,0.6349,0.6032,0.637,0.3492,17541.5
SUNY College of Environmental Science and Forestry,NY,3,36,2,1157,1746,0.8013,0.0149,0.0533,0.0355,0.0011,0.0011,0.0246,0.0212,0.047,24430,8409,0.7461,0.5993,0.7455,0.6667,0.6774,0.5567,15500
Albany College of Pharmacy and Health Sciences,NY,3,36,2,1141,901,0.6537,0.0355,0.0433,0.1498,0,0,0.0155,0.061,0.0411,44465,8236,0.7136,0.6145,0.697,1,0.6579,0.7864,25000
SUNY Maritime College,NY,3,36,2,1128,1626,0.7097,0.0431,0.1261,0.0455,0.0006,0,0.0221,0.0178,0.0351,23909,7097,0.5653,0.7903,0.583,0.6471,0.4949,0.5134,20000
CUNY City College,NY,3,36,2,1120,12609,0.1422,0.1623,0.3643,0.2517,0.0014,0.0028,0.0165,0.0588,0,14204,11063,0.4686,0.5468,0.4564,0.5281,0.5017,0.163,8615
Manhattan College,NY,3,36,2,1120,3637,0.5716,0.0454,0.2073,0.0542,0.0016,0.0003,0.0209,0.0302,0.0685,52890,10613,0.7082,0.8247,0.7118,0.7647,0.7576,0.6015,21500
Le Moyne College,NY,3,36,2,1119,2793,0.7898,0.0584,0.0541,0.0243,0.0025,0.0007,0.0233,0.0097,0.0372,45349,9009,0.6732,0.7646,0.6791,0.5556,0.7283,0.6764,19000
State University of New York at New Paltz,NY,3,36,2,1115,6582,0.6269,0.0567,0.1825,0.0567,0.0008,0.0009,0.0228,0.0243,0.0286,22520,6934,0.7245,0.5948,0.7311,0.6923,0.7465,0.5301,15500
Adelphi University,NY,3,36,2,1114,5141,0.5223,0.0959,0.1622,0.1029,0.0012,0,0.0208,0.0311,0.0636,47647,12137,0.6821,0.6668,0.7074,0.5612,0.6441,0.5907,20375.5
Houghton College,NY,3,36,2,1109,1037,0.7338,0.0328,0.0106,0.028,0.001,0.0019,0.0444,0.1225,0.0251,40840,5956,0.7194,0.8114,0.7421,0.6,0.7654,0.8127,19852
